PETR4.SA,VALE3.SA,MGLU3.SA,HAPV3.SA,PETR3.SA,B3SA3.SA,BBDC4.SA,ABEV3.SA,ITUB4.SA,PETZ3.SA,COGN3.SA,USIM5.SA,ITSA4.SA,GOLL4.SA,VBBR3.SA,NTCO3.SA,BBDC3.SA,BBAS3.SA,PCAR3.SA,POMO4.SA
41.900001525878906,66.54000091552734,2.1500000953674316,3.569999933242798,43.599998474121094,12.449999809265137,13.850000381469727,12.829999923706055,34.290000915527344,3.809999942779541,2.359999895095825,10.579999923706055,10.319999694824219,2.630000114440918,25.690000534057617,16.549999237060547,12.489999771118164,57.40999984741211,3.7799999713897705,6.666666030883789
42.689998626708984,65.75,2.109999895095825,3.5799999237060547,44.08000183105469,12.479999542236328,13.800000190734863,13.039999961853027,34.36000061035156,3.859999895095825,2.380000114440918,10.670000076293945,10.3100004196167,2.5999999046325684,25.899999618530273,16.469999313354492,12.40999984741211,57.93000030517578,3.5,6.841666221618652
42.70000076293945,66.5,2.130000114440918,3.630000114440918,44.380001068115234,12.670000076293945,13.899999618530273,13.109999656677246,34.619998931884766,3.9000000953674316,2.4100000858306885,10.789999961853027,10.350000381469727,2.7100000381469727,26.040000915527344,16.59000015258789,12.449999809265137,58.189998626708984,3.569999933242798,6.783332824707031
42.630001068115234,67.4800033569336,2.200000047683716,3.75,43.970001220703125,12.75,14.020000457763672,13.3100004196167,34.779998779296875,4.139999866485596,2.549999952316284,10.84000015258789,10.5,2.609999895095825,25.959999084472656,16.90999984741211,12.520000457763672,58.630001068115234,3.940000057220459,7.175000190734863
42.52000045776367,66.80000305175781,2.180000066757202,3.7300000190734863,43.81999969482422,12.59000015258789,13.989999771118164,13.270000457763672,34.70000076293945,4.099999904632568,2.5199999809265137,10.779999732971191,10.460000038146973,2.619999885559082,25.8799991607666,16.850000381469727,12.520000457763672,58.58000183105469,3.6597740650177,7.158332824707031
40.43000030517578,66.73999786376953,2.1700000762939453,3.7899999618530273,41.599998474121094,12.579999923706055,13.960000038146973,13.449999809265137,34.79999923706055,4.079999923706055,2.5299999713897705,10.949999809265137,10.539999961853027,2.630000114440918,26.09000015258789,16.559999465942383,12.470000267028809,58.75,4.170440196990967,7.199999809265137
40.59000015258789,66.55000305175781,2.1500000953674316,3.75,41.75,12.5600004196167,13.930000305175781,12.920000076293945,34.66999816894531,4.039999961853027,2.5199999809265137,10.890000343322754,10.510000228881836,2.6600000858306885,26.010000228881836,16.459999084472656,12.470000267028809,58.75,4.113698959350586,7.199999809265137
40.13999938964844,66.98999786376953,2.130000114440918,3.6700000762939453,41.220001220703125,12.829999923706055,13.75,12.579999923706055,33.939998626708984,4.170000076293945,2.5199999809265137,11.069999694824219,10.300000190734863,2.5399999618530273,25.860000610351562,16.309999465942383,12.300000190734863,57.86000061035156,3.811081886291504,7.316666126251221
40.349998474121094,66.88999938964844,2.1500000953674316,3.6700000762939453,41.380001068115234,12.520000457763672,13.789999961853027,12.460000038146973,34.119998931884766,4.170000076293945,2.5299999713897705,11.020000457763672,10.300000190734863,2.559999942779541,25.899999618530273,16.3799991607666,12.319999694824219,57.95000076293945,4.0,7.158332824707031
40.18000030517578,66.87999725341797,2.2200000286102295,3.7200000286102295,41.209999084472656,12.420000076293945,13.800000190734863,12.4399995803833,34.06999969482422,4.190000057220459,2.5999999046325684,11.109999656677246,10.300000190734863,2.549999952316284,26.600000381469727,16.6200008392334,12.399999618530273,57.91999816894531,3.880000114440918,7.150000095367432
40.27000045776367,66.94999694824219,2.2100000381469727,3.700000047683716,41.310001373291016,12.420000076293945,13.779999732971191,12.449999809265137,34.08000183105469,4.210000038146973,2.609999895095825,11.09000015258789,10.300000190734863,2.5999999046325684,26.700000762939453,16.6200008392334,12.380000114440918,58.02000045776367,3.880000114440918,7.191666126251221
40.08000183105469,66.7300033569336,2.130000114440918,3.5999999046325684,41.04999923706055,12.300000190734863,13.649999618530273,12.479999542236328,33.810001373291016,3.950000047683716,2.5799999237060547,10.699999809265137,10.270000457763672,2.5199999809265137,26.559999465942383,16.149999618530273,12.1899995803833,57.68000030517578,3.5999999046325684,7.158332824707031
40.099998474121094,66.0,2.109999895095825,3.7200000286102295,41.08000183105469,12.390000343322754,13.65999984741211,12.529999732971191,33.91999816894531,3.9800000190734863,2.680000066757202,10.739999771118164,10.279999732971191,2.640000104904175,26.020000457763672,16.15999984741211,12.220000267028809,57.79999923706055,3.4100000858306885,7.133333206176758
39.959999084472656,65.8499984741211,2.119999885559082,3.75,40.79999923706055,12.1899995803833,13.720000267028809,12.75,33.779998779296875,3.940000057220459,2.7200000286102295,10.739999771118164,10.279999732971191,2.5899999141693115,25.100000381469727,16.68000030517578,12.319999694824219,58.08000183105469,3.450000047683716,7.175000190734863
40.20000076293945,66.22000122070312,2.1500000953674316,3.7699999809265137,41.02000045776367,12.279999732971191,13.800000190734863,12.800000190734863,33.959999084472656,3.9800000190734863,2.75,10.739999771118164,10.319999694824219,2.609999895095825,25.229999542236328,16.780000686645508,12.399999618530273,58.220001220703125,3.5299999713897705,7.191666126251221
40.84000015258789,66.75,2.059999942779541,3.7799999713897705,41.5,12.25,13.819999694824219,12.6899995803833,34.150001525878906,3.950000047683716,2.7100000381469727,10.75,10.40999984741211,2.549999952316284,24.850000381469727,16.979999542236328,12.25,58.939998626708984,3.690000057220459,7.2083330154418945
