PETR4.SA,VALE3.SA,MGLU3.SA,HAPV3.SA,PETR3.SA,B3SA3.SA,BBDC4.SA,ABEV3.SA,ITUB4.SA,PETZ3.SA,COGN3.SA,USIM5.SA,ITSA4.SA,GOLL4.SA,VBBR3.SA,NTCO3.SA,BBDC3.SA,BBAS3.SA,PCAR3.SA,POMO4.SA
37.5,67.5,1.9174120426177979,4.019999980926514,38.810001373291016,13.789999961853027,15.649999618530273,13.380000114440918,32.95000076293945,3.559999942779541,3.200000047683716,8.470000267028809,10.039999961853027,7.199999809265137,22.68000030517578,17.31999969482422,13.869999885559082,56.06999969482422,4.409999847412109,7.239999771118164
37.70000076293945,67.80000305175781,1.8238799571990967,3.7899999618530273,39.040000915527344,13.479999542236328,15.460000038146973,13.359999656677246,32.400001525878906,3.4600000381469727,3.059999942779541,8.600000381469727,9.90999984741211,6.820000171661377,22.809999465942383,16.979999542236328,13.779999732971191,55.54999923706055,4.300000190734863,7.28000020980835
37.84000015258789,68.94999694824219,1.8425860404968262,3.8399999141693115,39.18000030517578,13.579999923706055,15.550000190734863,13.390000343322754,32.58000183105469,3.5,3.0899999141693115,8.65999984741211,9.960000038146973,6.889999866485596,22.850000381469727,17.1299991607666,13.859999656677246,55.810001373291016,4.320000171661377,7.28000020980835
38.16999816894531,69.19999694824219,1.8145270347595215,3.940000057220459,39.61000061035156,13.729999542236328,15.380000114440918,13.369999885559082,32.54999923706055,3.5199999809265137,3.109999895095825,8.640000343322754,10.050000190734863,6.880000114440918,23.010000228881836,17.280000686645508,13.800000190734863,56.540000915527344,4.21999979019165,7.400000095367432
38.290000915527344,70.30000305175781,1.8519400358200073,4.0,39.70000076293945,13.930000305175781,15.4399995803833,13.4399995803833,32.709999084472656,3.569999933242798,3.130000114440918,8.760000228881836,10.09000015258789,6.940000057220459,23.110000610351562,17.350000381469727,13.850000381469727,56.68000030517578,4.300000190734863,7.420000076293945
37.880001068115234,69.9000015258789,1.7958199977874756,3.9600000381469727,39.2400016784668,13.630000114440918,15.319999694824219,13.279999732971191,32.400001525878906,3.430000066757202,3.049999952316284,8.970000267028809,9.960000038146973,6.650000095367432,23.360000610351562,16.350000381469727,13.729999542236328,56.650001525878906,4.210000038146973,7.550000190734863
38.2599983215332,70.0,1.8145270347595215,3.990000009536743,39.630001068115234,13.630000114440918,15.34000015258789,13.220000267028809,32.58000183105469,3.4600000381469727,3.0799999237060547,8.989999771118164,9.960000038146973,6.75,23.3799991607666,16.3799991607666,13.729999542236328,56.75,4.260000228881836,7.590000152587891
39.279998779296875,68.18000030517578,1.9361189603805542,4.010000228881836,41.060001373291016,13.430000305175781,15.359999656677246,13.199999809265137,32.33000183105469,3.430000066757202,3.0399999618530273,9.029999732971191,9.9399995803833,6.440000057220459,23.34000015258789,16.200000762939453,13.699999809265137,56.58000183105469,4.099999904632568,7.869999885559082
39.099998474121094,67.9000015258789,1.9548250436782837,4.03000020980835,40.88999938964844,13.239999771118164,15.399999618530273,13.260000228881836,32.380001068115234,3.4600000381469727,3.0399999618530273,9.399999618530273,9.960000038146973,5.630000114440918,23.389999389648438,16.290000915527344,13.720000267028809,56.63999938964844,4.110000133514404,7.869999885559082
39.959999084472656,69.5,1.945472002029419,3.930000066757202,41.959999084472656,13.220000267028809,15.520000457763672,13.199999809265137,32.810001373291016,3.4000000953674316,3.0299999713897705,9.5,10.010000228881836,5.920000076293945,23.229999542236328,15.970000267028809,13.75,56.970001220703125,4.139999866485596,7.769999980926514
